Zip,Airport
34215,KSRQ
34212,KSRQ
34211,KSRQ
34210,KSRQ
48850,KRQB
36874,KAUO
36875,KLSF
36877,KCSG
34219,KSRQ
36879,KAUO
48847,KAMN
24879,KJFZ
48846,KY70
48843,KOZW
48842,KTEW
48841,KRNP
36860,KLSF
48840,KLAN
24872,N/A
22211,KDCA
24874,KI16
24873,KJFZ
22213,KDCA
48849,KY70
48848,KRNP
36869,KLSF
34205,KSRQ
95192,KSJC
34203,KSRQ
34202,KSRQ
34201,KSRQ
24870,KI16
36861,KALX
36862,KAUO
36863,KLGC
34209,KSRQ
36866,KAUO
34208,KSRQ
36867,KCSG
34207,KSRQ
48836,KOZW
48835,KY70
48834,KY70
48832,KAMN
48831,KRNP
24882,N/A
